#Orbital-7	#Orbital-8	#Orbital-9
-10.487170364117	-10.477806462848	-1.023844849688
-10.491930996223	-10.476740223367	-1.056185101151
-10.485337121956	-10.475223504189	-1.081698326149
-10.465087173793	-10.443357728981	-1.267443801201
-10.472053419490	-10.465358595320	-0.970187929921
-10.512543172977	-10.512527824290	-0.898384711847
-10.527799679100	-10.517207132901	-0.923443428935
-10.478123219864	-10.462103393953	-1.148608321486
-10.339938214676	-10.339440662568	-0.954741724093
-10.423617068754	-10.401157571192	-1.244167491779
-10.532306461367	-10.529566959494	-0.894040197086
-10.409028400597	-10.399754091388	-1.076863441171
-10.477285216996	-10.465041191181	-1.139326536596
-10.448040183680	-10.431506465550	-1.111545941111
-10.478714643717	-10.467120526323	-1.114443749835
-10.491228021287	-10.489006381255	-0.958756414210
-10.487713978646	-10.474126658401	-0.999063507444
-10.486938627166	-10.481050436941	-1.025233757119
-10.421068833951	-10.403397269651	-1.193176789321
-10.375467136826	-10.371551646788	-1.016743984958
-10.403133578003	-10.399024563790	-0.977891719837
-10.499967797745	-10.497579430661	-0.966816043298
-10.454634021664	-10.454160120113	-1.003325292033
-10.528476645895	-10.524321592394	-0.906084170125
-10.520145170948	-10.516099213542	-0.901071540257
-10.404578551018	-10.402549787109	-0.958052716776
-10.484758708902	-10.484651252621	-0.954914766752
-10.217177339643	-10.213588371420	-0.977757267184
-10.444163815296	-10.424178287952	-1.152575965288
-10.473498353131	-10.466154262216	-1.108974960249
-10.463153346815	-10.446850139816	-1.286390879887
-10.477574363112	-10.449324460931	-1.224288876122
-10.448508409079	-10.440187531910	-1.030304153486
-10.354569073798	-10.343062497736	-0.952825189826
-10.474672224688	-10.468471359112	-1.071702478869
-10.461037979082	-10.440182750412	-1.241512443078
-10.345654054927	-10.340597265142	-1.034377194074
-10.468548424153	-10.468090251067	-0.948999264056
-10.316263322222	-10.315742062850	-0.896915504988
-10.466242217115	-10.465668799667	-0.884743273189
-10.502275769588	-10.501126717612	-0.919938732353
-10.485729196493	-10.479906028069	-1.043405575259
-10.491656134835	-10.489718161678	-0.985581688280
-10.440013335728	-10.437835998496	-1.063792281400
-10.301322771520	-10.298187688133	-1.064867285132
-10.339652658093	-10.322623251827	-1.119131242844
-10.458922732797	-10.442992823803	-1.048861937299
-10.476721201284	-10.469172832287	-0.932681923495
-10.492332057382	-10.473971955362	-1.073238199318
-10.494590165582	-10.486285745698	-1.022636315610
-10.464896320733	-10.455795613969	-1.104732110276
-10.454065088285	-10.453971573178	-0.963901728617
-10.516055643030	-10.513095040319	-0.929042611581
-10.506548217715	-10.499419830416	-0.974265017153
-10.485325378668	-10.476910492448	-1.033223168736
-10.439385323238	-10.438319364816	-0.934840239929
-10.499958129068	-10.485443845535	-1.034054395401
-10.302576346221	-10.289420150285	-1.056513197094
-10.417009876253	-10.385449301970	-1.192631222993
-10.491309049754	-10.478370003747	-1.038178852428
-10.388149479719	-10.387377341044	-0.965658928703
-10.498137992845	-10.470860152948	-1.026926863314
-10.504534916240	-10.502287059504	-0.917099852075
-10.425168200030	-10.418278221737	-1.022560665389
-10.505250158733	-10.502140449954	-0.921294774987
-10.469797541362	-10.443826861612	-1.293034591308
-10.532231778049	-10.516172164564	-0.918840079390
-10.475308683960	-10.471653317731	-1.017941244115
-10.496277964964	-10.490267720695	-0.936236443834
-10.518097860597	-10.517083622199	-0.910250176971
-10.507736980680	-10.506448585054	-0.937963447450
-10.500623451043	-10.498533444306	-0.962919173953
-10.434356778633	-10.414981682309	-1.065740605071
-10.470270084666	-10.443811743272	-1.235992195972
-10.483541404363	-10.466838620882	-1.091920659796
-10.481041578549	-10.466163661704	-1.134331232360
-10.484025339248	-10.467359921440	-1.127841914032
-10.482308485270	-10.476946101451	-0.920550293497
-10.473909953740	-10.462264845149	-1.091986936456
-10.446455582658	-10.431285132265	-1.204378967079
-10.519737530285	-10.516187795572	-0.908254481298
-10.337857810793	-10.318975761177	-1.074679853574
-10.299280825284	-10.285508303069	-1.342418955547
-10.442067504897	-10.372752302330	-1.676823853431
-10.463229213986	-10.444795320165	-1.055047050744
-10.501709561371	-10.498690653226	-0.946610131869
-10.240251336907	-10.227600625990	-1.071549068230
-10.512850590295	-10.504899811781	-0.940150929464
-10.415250123943	-10.396013297514	-1.234569091426
-10.495293829934	-10.482449493670	-1.030992245549
-10.505122551518	-10.478091648104	-1.036595626628
-10.494962138399	-10.484071311639	-1.003254069062
-10.502763790482	-10.494184173250	-0.988377889407
-10.500120862509	-10.498263784873	-0.959010987191
-10.464233362327	-10.438304361934	-1.046350800224
-10.478315454958	-10.440946671807	-1.254482386719
-10.477221361770	-10.458067748029	-1.027494572031
-10.485584082425	-10.479865748537	-0.970661969202
-10.463776496346	-10.441939275286	-1.140514177659
-10.447663211294	-10.434622901240	-1.038101659090
-10.469113407985	-10.454431579588	-0.995868127439
-10.527166446702	-10.510047666096	-0.904807596457
-10.487529057114	-10.473212364670	-1.059094443598
-10.495845646807	-10.485876209568	-1.019138704218
-10.473316659429	-10.466310407557	-0.956529313181
-10.456695059589	-10.454238856070	-0.873486706064
-10.450511382977	-10.393136078252	-1.585429804834
-10.530656833198	-10.526062970673	-0.899771773303
-10.499388885165	-10.494112549010	-0.925528351161
-10.498402784955	-10.491853060911	-0.989988263548
-10.395935094965	-10.392803330876	-0.920982539599
-10.416762299562	-10.406925879598	-0.952507507383
-10.466120774991	-10.437623071231	-1.280132295209
-10.452470294001	-10.431000211751	-1.430863624427
-10.492878287206	-10.486849771902	-1.009559890287
-10.500954068882	-10.500340689526	-0.916121802455
-10.450915359328	-10.404347501735	-1.301196731322
-10.443532056237	-10.439569822185	-1.002712890088
-10.496570994777	-10.485957163098	-1.029867679198
-10.491634206197	-10.471592151784	-1.101802164653
-10.474274691460	-10.461540739956	-1.164764658395
-10.503279842410	-10.502377822188	-0.905062032437
-10.469023985990	-10.468972013007	-0.947166178842
-10.458054659196	-10.449623376185	-0.969519425621
-10.437316340684	-10.421074974817	-1.343216100669
-10.289795256897	-10.283636941750	-1.072350633884
-10.443691659618	-10.437610435284	-1.063442874515
-10.456724929703	-10.442524885840	-1.312527824140
-10.498229069553	-10.488657294254	-1.014406325234
-10.468731316024	-10.466672869349	-0.990533581879
-10.481338223477	-10.468099921275	-1.111575321090
-10.442785890767	-10.440921992600	-0.932367415543
-10.502217024657	-10.500550140271	-0.939321042019
-10.323602828734	-10.310903428621	-1.104064324498
-10.457193895841	-10.451926517302	-1.175978726225
-10.416993075319	-10.413539167690	-0.941189832439
-10.457819473011	-10.430719821039	-1.179733999712
-10.352938036846	-10.349168418813	-0.891385026757
-10.471730943690	-10.448801532821	-1.148969517011
-10.492798354534	-10.491611010744	-0.966551598915
-10.496669717473	-10.496603157022	-0.937543695687
-10.476937640958	-10.468243347569	-1.109795911093
-10.498779262153	-10.494433369986	-0.983369794043
-10.494800074013	-10.493099624074	-0.936083801448
-10.424031082332	-10.422933141610	-0.981824482171
-10.397467907157	-10.391260615019	-0.939883926650
-10.471003804350	-10.469596337432	-1.003562131520
-10.360421701547	-10.347216325218	-1.158812296037
-10.498632906030	-10.491843265095	-0.963030127567
-10.484031905617	-10.471051772578	-1.098606938696
-10.535285394889	-10.534138550275	-0.885161749373
-10.418673714625	-10.391845836450	-1.101991982423
-10.397767580591	-10.396073863636	-0.911479478656
-10.419884620657	-10.395364082410	-1.162540620519
-10.502433025748	-10.494738154929	-0.991264910565
-10.458645781472	-10.426707906592	-1.382781736492
-10.498219654901	-10.497002035139	-0.962331526025
-10.350642460758	-10.342501248057	-1.003587019819
-10.269814479756	-10.258227957680	-1.121653385356
-10.505712621446	-10.502996498091	-0.953819204541
-10.489282117619	-10.482965007611	-0.929079876284
-10.456763269691	-10.446213031216	-1.027945539880
-10.446021701101	-10.418127301913	-1.184239058707
-10.509809057718	-10.503991734684	-0.912333414464
-10.385252987856	-10.378299460795	-1.063874441742
-10.433717650145	-10.432767616456	-0.918345652252
-10.472618250553	-10.449282880883	-1.133423909055
-10.452755551916	-10.448601148111	-0.958315619928
-10.474357394468	-10.464193885324	-1.034812141934
-10.456456498686	-10.450715777026	-1.036339911823
-10.462404976325	-10.447791397204	-1.180916718890
-10.485921798723	-10.485649074179	-0.900476165680
-10.475486477422	-10.465967430042	-1.066566446688
-10.463989230023	-10.459366943993	-1.031750314928
-10.477861236669	-10.457539174220	-0.994415905981
-10.409495355533	-10.396685024798	-1.026764966920
-10.509075327593	-10.498217115596	-0.967525236894
-10.419105379690	-10.402341538773	-1.051696481820
