#Orbital-430  #Orbital-431  #Orbital-432  
    13.30109744     14.25232547     14.65646764  
    13.51356579     14.28158344     14.37223933  
    13.28121208     14.51619517     14.69771522  
    13.39009514     14.21665657     14.56748868  
    13.50375936     14.23773740     14.68376334  
    13.26659100     14.42056160     14.61129750  
    13.30086215     14.42423206     14.52594909  
    13.29156726     14.39270967     14.69696920  
    13.22047999     14.33743635     14.38950243  
    13.24684467     14.42454971     14.53347026  
    13.33661883     14.16743100     14.43464430  
    13.36153060     14.40577925     14.53806092  
    13.39230613     14.26559728     14.70150070  
    13.46682666     14.38934308     14.53658305  
    13.42306838     14.19594391     14.49116133  
    13.39877313     14.28566235     14.39239977  
    13.28610229     14.30252935     14.49078839  
    13.30178079     14.22299610     14.42765491  
    13.26836786     14.22898161     14.54420796  
    13.40974057     14.30500504     14.72412966  
    13.50756390     14.29729741     14.55146428  
    13.22820477     14.33797300     14.50696220  
    13.16480826     14.38581741     14.47838026  
    13.38380406     14.36995946     14.59610865  
    13.41856422     14.29194280     14.69691902  
    13.32735635     14.27077890     14.53708658  
    13.40860669     14.35801181     14.43553901  
    13.52793678     14.29368607     14.46286644  
    13.28076049     14.25535732     14.86335209  
    13.18508918     14.24871020     14.54139023  
    13.29206666     14.36380878     14.67204842  
    13.47097123     14.28860823     14.43511253  
    13.27418465     14.33341529     14.65540431  
    13.36667169     14.21267978     14.41448159  
    13.30068887     14.38242630     14.78297766  
    13.49536413     14.25554282     14.32037728  
    13.51423199     14.39237530     14.71197369  
    13.35559792     14.28879620     14.43647233  
    13.29852113     14.31350950     14.44988899  
    13.32698173     14.23223732     14.57067480  
    13.56550875     14.33587682     14.63772307  
    13.37256253     14.33527536     14.46729743  
    13.22915993     14.25422006     14.69609267  
    13.27896992     14.34642220     14.52083205  
    13.26780836     14.40599570     14.70065356  
    13.42074264     14.44724242     14.59562806  
    13.25580469     14.33735685     14.61855941  
    13.41084105     14.25042504     14.50759482  
    13.41753227     14.15882089     14.70796608  
    13.41413018     14.38222000     14.43186161  
    13.45768003     14.22271950     14.43338387  
    13.26997344     14.24158884     14.35064538  
    13.37836926     14.38325630     14.58830468  
    13.36691919     14.16857880     14.45988732  
    13.26715071     14.28752259     14.51279304  
    13.30334788     14.09003348     14.39534377  
    13.39002666     14.06062682     14.28450815  
    13.44279241     14.27318993     14.65208573  
    13.45972978     14.09267312     14.54567345  
    13.28525914     14.25103542     14.65708593  
    13.42713201     14.51987723     14.63543821  
    13.28890826     14.21253780     14.63354781  
    13.52374734     14.39187416     14.57306344  
    13.51772881     14.40604364     14.49827558  
    13.28758788     14.27018145     14.32539288  
    13.50050550     14.17022127     14.66851396  
    13.29464358     14.28183826     14.67739960  
    13.59669428     14.28330677     14.45594683  
    13.30494348     14.20712523     14.31574454  
    13.42054980     14.32166792     14.47406310  
    13.35623416     14.43568602     14.62244710  
    13.40257532     14.27161017     14.71690366  
    13.34631761     14.16461590     14.43999213  
    13.45327829     14.51175721     14.56143452  
 
