#    1E(low)     1E(High)     1A1    all in meV
    -113.15      193.16       74.11
    -109.57       98.72      -18.52
    -124.97       45.09      -36.30
     -80.53        7.55       57.09
     -50.54        7.41      -63.71
    -128.61       41.71      -76.50
     -19.62       12.40       -6.08
    -102.35       -2.66      -78.31
     -49.75       17.09      -38.91
    -147.23       76.00      -23.10
     -72.62      107.40      -40.35
     -49.92       31.68      -14.76
    -103.07        1.94     -118.04
    -158.74       69.95      -82.00
    -158.96      147.07       -0.88
    -153.31      120.45       -1.41
    -142.00      115.80      -48.68
    -129.05       17.09      -78.83
    -182.41      161.23       54.65
     -80.44       -9.37      126.60
    -113.43       47.89      -33.15
    -245.04      100.21      -63.42
    -129.86       23.06      -45.64
    -173.67      109.53       31.78
    -158.57       60.99     -102.62
    -182.88       21.79      -43.76
    -125.63       40.09     -178.11
    -147.40      134.51      -37.33
    -253.20      277.71       32.85
    -240.59      243.56       42.52
    -174.11       18.40      -74.19
    -128.78      187.29        4.70
     -72.63       36.10       -2.60
     -60.27       76.84       43.48
    -158.74       84.07      -45.11
    -116.31       26.25       77.83
    -202.95      112.39      -74.10
    -148.19       69.69      -98.95
     -71.11       93.56       29.11
    -115.28       60.33      -99.31
    -151.19        9.38      -89.33
     -90.37      -17.66      -35.22
    -233.28      150.58      -39.00
     -76.35       31.99      -57.55
    -148.41       86.24      -31.63
     -51.55      -17.85      -46.95
    -109.39        1.41       -5.36
    -145.89       96.46       23.11
    -245.89      146.09       -8.20
     -91.36      147.37       -6.53
    -136.13      127.61       93.14
    -146.02      102.14      -33.08
     -85.38       92.40      -29.15
     -63.80       10.55        4.17
    -255.22      262.82      -69.22
    -111.66       -2.35       -1.08
    -149.33       75.34       16.35
    -160.04      102.06      -58.74
     -88.58       -4.77      -47.90
    -117.92      -34.66     -122.75
    -213.85      142.24        5.51
    -258.94      135.31       55.97
    -122.24       82.22        0.95
     -79.39       13.53      -89.92
    -231.17      164.98       43.07
     -77.00      100.84      -30.64
     -77.83      -29.83      -57.16
     -51.83       10.90      -18.35
     -62.06       17.65      -28.01
    -136.23       13.18      -32.42
    -121.44       30.72        2.11
    -118.48       51.43      -64.67
    -139.66       23.11     -136.44
    -145.59      129.34      -54.30
     -78.74        2.35      -59.46
    -146.99      127.02      -34.75
     -47.17      -13.22       -7.75
    -133.98       47.00      -16.91
     -79.24       75.54      -69.44
    -159.08      114.28      -43.74
    -289.55      266.09      167.75
    -173.23      -28.35      -12.88
    -155.22      110.14        5.32
    -236.78      215.84       12.18
    -245.90      159.39      -11.41
    -126.30       91.45       -2.03
     -96.94       -0.55      -72.06
     -99.30       30.89      -70.21
    -135.31       82.31      -95.28
    -223.85      213.99      -59.61
