#Orbital-430  #Orbital-431  #Orbital-432  
    13.99628139     17.40320363     17.62671815  
    14.07167324     17.33782093     17.56561214  
    14.33981545     17.25144247     17.41013492  
    14.32574666     17.34523384     17.69214212  
    14.14567284     17.20819287     17.33750523  
    14.22187158     17.15544281     17.33841685  
    14.05697205     17.30936618     17.53552903  
    14.14385049     17.12512083     17.34541690  
    14.14283257     17.19068024     17.33758066  
    14.41690216     17.33768417     17.44078822  
    14.16507222     17.52620589     17.58192217  
    14.23761075     17.37775112     17.54372619  
    14.22154739     17.20283180     17.43852430  
    14.41650400     17.38849307     17.43063478  
    14.26142159     17.33378008     17.40949901  
    14.19276379     17.30696745     17.58994510  
    14.12147697     17.30932336     17.41083380  
    14.39323830     17.24224677     17.31477840  
    14.24512934     17.22056751     17.43820654  
    13.98899935     17.06520075     17.57970256  
    14.19966181     17.31031739     17.55157424  
    14.30346621     17.17961015     17.44326410  
    14.41016233     17.25999092     17.46515053  
    14.22180695     17.22376140     17.41775364  
    14.21035123     17.14711204     17.43729906  
    14.15512456     16.92783281     17.31323581  
    14.07381838     17.21313233     17.35831303  
    14.07136700     17.33951398     17.45846357  
    14.21226555     17.41641503     17.48310025  
    14.26065733     17.28042413     17.46128924  
    14.37441966     17.25041964     17.50642704  
    14.18644908     17.53938865     17.60853607  
    14.15179390     17.30301295     17.41436768  
    14.22594025     17.31245849     17.47750021  
    14.23143265     17.15508826     17.37759362  
    14.04967784     17.15208116     17.52908270  
    14.34051362     17.23790167     17.50180505  
    14.21720438     17.13300510     17.28556141  
    14.25111933     17.48297438     17.56298529  
    14.14028019     17.27888682     17.45361282  
    14.33035785     17.13759156     17.36178390  
    14.27358996     17.19991012     17.42763146  
    14.35934465     17.17681368     17.42016171  
    14.23145788     17.25786345     17.38077521  
    14.28098372     17.24778640     17.42452172  
    14.22798478     17.20289220     17.35180342  
    14.27189046     17.21431046     17.55442100  
    14.13406808     17.24514072     17.46378473  
    14.45587478     17.27376476     17.38793931  
    14.03823675     17.37327675     17.44279914  
    14.06295952     17.17471308     17.54806253  
    14.04063130     17.09222416     17.30913987  
    13.90821321     17.23248818     17.44660930  
    14.29302414     17.27387168     17.44551223  
    14.03106573     17.33638067     17.51842743  
    14.42652741     17.22750350     17.45900236  
    14.35838722     17.22332985     17.33195922  
