#Orbital-9   #Orbital-10   #Orbital-11   
     -10.0917      -10.0651       -1.0588 
     -10.1123      -10.0783       -0.5514 
     -10.2638      -10.2606        -0.166 
      -10.302      -10.2979        0.3726 
     -10.2921      -10.2819       -0.4263 
     -10.3202      -10.3077       -0.0021 
      -10.277      -10.2565       -0.3061 
     -10.2579      -10.2402       -0.6261 
     -10.3381      -10.3377        0.5374 
     -10.3036      -10.3033         0.185 
     -10.2795      -10.2775       -0.0816 
     -10.3191      -10.3164        0.4397 
     -10.2399      -10.2278       -0.0193 
     -10.2169      -10.2069       -0.4111 
     -10.3183       -10.318        0.4181 
     -10.3137      -10.3134        0.3744 
     -10.1906      -10.1793        0.0781 
     -10.1618      -10.1531        -0.455 
     -10.1766      -10.1557       -0.3819 
     -10.1643      -10.1457       -0.6283 
     -10.2965       -10.275       -0.5295 
     -10.2969      -10.2753       -0.5235 
     -10.2591      -10.2489       -0.4924 
     -10.2917      -10.2786        0.0256 
     -10.2914      -10.2855        0.0046 
     -10.2925      -10.2865        0.0204 
     -10.3019      -10.2909       -0.3496 
     -10.3188      -10.3063       -0.0944 
     -10.2749      -10.2643        0.1419 
      -10.238        -10.23       -0.4494 
     -10.3327      -10.3274        0.2659 
     -10.3025      -10.2982       -0.1522 
     -10.2623      -10.2589        0.2081 
      -10.254      -10.2508        0.0891 
     -10.3085      -10.3042       -0.0178 
     -10.3227      -10.3179        0.1786 
     -10.2239      -10.2213       -0.3583 
     -10.2836      -10.2796        0.5093 
     -10.2933      -10.2846       -0.3631 
     -10.3218      -10.3111        0.0607 
     -10.2892      -10.2875       -0.2286 
     -10.3501      -10.3476        0.5472 
     -10.2965      -10.2948        0.3356 
     -10.2843      -10.2826        0.1796 
     -10.3335      -10.3192        0.1564 
     -10.2788      -10.2691        -0.671 
     -10.3181      -10.3161        0.3818 
     -10.2959      -10.2943        0.1032 
     -10.2065      -10.2041        0.0387 
     -10.2252      -10.2224         0.319 
     -10.2888      -10.2702       -0.6773 
     -10.3118      -10.2898       -0.3108 
     -10.2632      -10.2614        0.1958 
     -10.2708      -10.2689         0.296 
     -10.2672      -10.2522        -0.617 
     -10.2946      -10.2762       -0.1713 
     -10.3212      -10.3188         0.222 
     -10.3199      -10.3175        0.2047 
     -10.2724      -10.2613       -0.4157 
     -10.2947      -10.2816       -0.0658 
     -10.2663      -10.2495       -0.3625 
     -10.2632      -10.2468       -0.4144 
     -10.2192      -10.2034       -0.4397 
     -10.2253      -10.2087       -0.3302 
     -10.3476      -10.3338        0.3275 
     -10.2704      -10.2625        -0.813 
     -10.3073      -10.3051        0.2129 
     -10.3084      -10.3061         0.227 
     -10.2982      -10.2981        0.1963 
     -10.3372       -10.337        0.5679 
     -10.2801      -10.2733          0.28 
     -10.2417      -10.2367       -0.3052 
     -10.2478      -10.2078        -1.331 
      -10.275      -10.2245       -0.8341 
     -10.2233      -10.1979       -0.6463 
     -10.2233      -10.1979        -0.647 
      -10.297      -10.2937       -0.0894 
     -10.3268      -10.3227         0.316 
     -10.2929      -10.2907        0.4025 
     -10.2645      -10.2626        0.0244 
     -10.2461      -10.2276       -0.5385 
     -10.2544      -10.2346       -0.3964 
     -10.2932      -10.2858        0.1249 
     -10.2717      -10.2654       -0.1979 
     -10.3141      -10.3112        0.1441 
     -10.3191      -10.3161        0.2095 
     -10.3309      -10.3217        0.5198 
     -10.2408       -10.236       -0.7996 
     -10.2422      -10.1917       -1.3903 
     -10.2561      -10.1988       -1.1235 
     -10.3038      -10.2997        0.2019 
     -10.2909      -10.2871        0.0214 
     -10.2962      -10.2954        0.4353 
     -10.2782      -10.2775        0.2298 
     -10.1894      -10.1567       -0.6336 
     -10.1745      -10.1462       -0.9402 
     -10.3178      -10.3153        0.5309 
     -10.2625      -10.2609       -0.1984 
     -10.3128      -10.3036        -0.118 
      -10.312      -10.3029       -0.1288 
     -10.2893      -10.2773       -0.3727 
     -10.3038      -10.2904       -0.1477 
     -10.3277      -10.3247         0.296 
     -10.3099      -10.3073        0.0657 
     -10.2838      -10.2739       -0.3074 
     -10.3003      -10.2891       -0.0544 
      -10.233      -10.2191       -0.2147 
     -10.2239       -10.211       -0.3731 
     -10.3284       -10.327        0.3778 
     -10.3131      -10.3119        0.1987 
     -10.2155      -10.2073         0.071 
      -10.198       -10.191       -0.2273 
     -10.2508      -10.2391       -0.4435 
     -10.2723      -10.2585       -0.0916 
     -10.2329      -10.1714       -0.9987 
     -10.2059      -10.1586       -1.5486 
     -10.3342      -10.3339        0.4959 
     -10.3108      -10.3105        0.2666 
     -10.2938      -10.2893       -0.0007 
     -10.3048         -10.3        0.1551 
     -10.2995      -10.2985         0.022 
     -10.3402      -10.3388        0.5055 
      -10.265      -10.2544       -0.4864 
     -10.2963       -10.283        0.0075 
     -10.2889      -10.2813        0.0912 
     -10.2704      -10.2637       -0.1895 
     -10.2708       -10.258       -0.4434 
     -10.2891      -10.2743        -0.152 
     -10.3351      -10.3335        0.4381 
     -10.3059      -10.3046         0.085 
     -10.2549      -10.2257        -0.686 
     -10.2507      -10.2225       -0.7591 
     -10.2652      -10.2601       -0.0943 
     -10.2823      -10.2766        0.1599 
        -10.3      -10.2874       -0.0771 
     -10.2805      -10.2695       -0.3813 
     -10.3254      -10.3249        0.4107 
     -10.3189      -10.3184        0.3446 
     -10.2753       -10.232       -0.9376 
     -10.2669      -10.2265       -1.0863 
     -10.2751      -10.2677        0.0355 
     -10.2647      -10.2579       -0.1228 
     -10.3188      -10.3166        0.2052 
     -10.3218      -10.3196        0.2436 
     -10.2794       -10.279       -0.2447 
     -10.3565      -10.3558        0.6715 
     -10.2958      -10.2893       -0.0042 
     -10.2946      -10.2881       -0.0226 
     -10.3045       -10.299       -0.1359 
     -10.3249      -10.3185        0.1536 
     -10.2946      -10.2726       -0.2928 
     -10.2702      -10.2519        -0.695 
     -10.2487      -10.2418       -0.4816 
     -10.2951      -10.2853        0.2349 
     -10.2685      -10.2654       -0.6257 
     -10.3566       -10.351        0.5772 
     -10.2701      -10.2594       -0.2932 
     -10.2813      -10.2697       -0.1158 
     -10.2706      -10.2689         0.227 
     -10.2751      -10.2733        0.2847 
     -10.2914      -10.2906        0.5438 
     -10.2502      -10.2496        0.0487 
     -10.2657      -10.2453       -0.9843 
     -10.3106      -10.2819       -0.2423 
     -10.1922      -10.1772       -0.5446 
     -10.2089      -10.1915        -0.235 
     -10.2229      -10.2168         0.153 
     -10.2055      -10.2002       -0.1331 
     -10.3377      -10.3351        0.4161 
     -10.3024      -10.3004        -0.036 
     -10.2589      -10.2507       -0.0159 
     -10.2505      -10.2429       -0.1487 
     -10.3143      -10.3111        0.1984 
     -10.3087      -10.3056         0.124 
     -10.2749      -10.2742        0.4035 
     -10.2648      -10.2641        0.2886 
     -10.2206      -10.2166       -0.3641 
     -10.2695      -10.2636         0.385 
     -10.3157      -10.3125        0.2645 
     -10.3011      -10.2983        0.0704 
     -10.3073      -10.3002        0.1006 
     -10.2901      -10.2838        -0.152 
     -10.3112      -10.3083        0.0533 
     -10.3276      -10.3243        0.2699 
     -10.2981      -10.2977        0.4513 
     -10.2831      -10.2827        0.2952 
     -10.2971      -10.2962       -0.0306 
     -10.3451      -10.3438        0.5414 
     -10.2344       -10.225        0.3282 
     -10.1813      -10.1754       -0.5692 
     -10.2701      -10.2674       -0.2269 
     -10.3191      -10.3153        0.4452 
     -10.3153      -10.3053       -0.0133 
     -10.2985      -10.2896       -0.2667 
     -10.3203      -10.3187        0.3427 
     -10.3082      -10.3066        0.1927 
     -10.3253      -10.3135        0.2586 
     -10.2664      -10.2587       -0.6284 
     -10.3042      -10.2998       -0.0906 
     -10.3271      -10.3221        0.2276 
     -10.2771      -10.2727        0.2566 
     -10.2546      -10.2508       -0.0735 
      -10.199      -10.1976         0.196 
     -10.2089      -10.2074        0.3357 
     -10.3086       -10.276       -0.4299 
     -10.2744      -10.2494       -0.9984 
     -10.3288      -10.3284        0.4567 
     -10.3149      -10.3146        0.3233 
     -10.2548      -10.2071        -0.963 
     -10.2417      -10.1992       -1.2093 
     -10.3324      -10.3272         0.364 
     -10.2875      -10.2837       -0.2591 
     -10.1964      -10.1941       -0.0247 
     -10.2221      -10.2192        0.3637 
     -10.2771      -10.2749       -0.3444 
     -10.3444       -10.341         0.547 
     -10.2974       -10.296        0.3477 
     -10.2868      -10.2855        0.2164 
     -10.2585      -10.2459       -0.3355 
     -10.2663      -10.2529       -0.2085 
     -10.3381      -10.3304        0.3498 
     -10.2819      -10.2768       -0.4525 
     -10.2756      -10.2487       -0.6591 
     -10.2746       -10.248       -0.6753 
     -10.2717      -10.2527        -0.537 
      -10.279      -10.2589       -0.4153 
     -10.3206      -10.3201        0.4034 
     -10.3149      -10.3144        0.3461 
     -10.3335      -10.3289         0.307 
     -10.3012      -10.2975       -0.1325 
     -10.3038      -10.2842       -0.4322 
     -10.2998      -10.2807       -0.4974 
     -10.3126      -10.2967       -0.2248 
     -10.2984       -10.284       -0.4468 
